price_id,product_id,product_name,product_statement_descriptor,product_tax_code,description,created_utc,amount,currency,interval,interval_count,usage_type,aggregate_usage,billing_scheme,trial_period_days,tax_behavior,gst_rate_metadata,includes_gst_metadata,original_price_id_metadata,tax_amount_metadata,money_metadata,usage_limit_for_sessions_metadata,usage_limit_for_appointments_metadata,maximum_auto_renews_metadata,free_trial_metadata,includes_on_demand_metadata,minimum_auto_renews_metadata,studios_metadata,tax_rate_percent_metadata,validity_unit_metadata,location_metadata,freeze_duration_total_metadata,no_of_sessions_metadata,freeze_attempts_metadata,validity_metadata,price_after_tax_metadata,is_intro_offer_metadata,tax_bracket_id_metadata,city_from_host_id_metadata,activate_on_first_use_metadata,number_of_events_metadata,price_type_metadata,paid_trial_amount_metadata,allow_first_membership_only_metadata,auto_renew_metadata,membership_id_metadata,featured_metadata,subscription_type_metadata,pre_tax_price_metadata,duration_unit_metadata,host_id_metadata,type_metadata,modified_at_metadata,counts_as_free_for_payroll_metadata,guest_combined_usage_limit_metadata,price_metadata,duration_metadata,combined_usage_limit_enabled_metadata,host_name_metadata,city_metadata,is_guest_pass_enabled_metadata,disabled_metadata,is_single_buy_metadata,free_trial_duration_in_days_metadata,membership_name_metadata,valid_for_metadata,created_at_metadata,session_count_metadata,order_number_metadata,momence_id_metadata
price_1SvY7VFDEp8YEMWanxM2h4eb,prod_TtKnO0QkvvIi31,1 Freeze Attempt,,,Mumbai,2026-01-31 06:57,1050.00,inr,,,,,per_unit,,unspecified,5,true,,,,0,0,0,false,false,0,Kwality House & Supreme HQ,5%,days,Mumbai,7,0,0,7,1050,false,36758,Mumbai,false,,fixed-price,0,false,false,602418,false,absolute,1000,days,13752,subscription,2025-12-22T05:03:20.998Z,false,0,1000,7,false,,Mumbai,false,false,false,7,,7 days,2025-12-22T05:03:20.998Z,0,,602418
price_1SvY7UFDEp8YEMWasUN4MkiP,prod_TtKnsviOHfmktM,Owner's Special - 2 for 1,,,Mumbai,2026-01-31 06:57,1575.00,inr,,,,,per_unit,,unspecified,5,true,,,,,,,,,,Kwality House & Supreme HQ,5%,days,Mumbai,7,2,0,7,1575,false,612,Mumbai,true,2,fixed-price,0,false,false,500399,false,absolute,1500,days,13752,package-events,2025-08-26T12:29:51.251Z,false,0,1500,7,false,,Mumbai,false,false,false,7,,7 days,2025-08-25T13:13:15.145Z,2,,500399
price_1SvY7UFDEp8YEMWaBeQkm36M,prod_TtKnvNkNnCYuwu,Strength Lab 2 week Unlimited,,,Mumbai,2026-01-31 06:57,8925.00,inr,,,,,per_unit,,unspecified,5,true,,,,,,,,,,Kwality House & Supreme HQ,5%,days,Mumbai,14,20,0,14,8925,false,36758,Mumbai,true,20,fixed-price,0,false,false,495716,false,absolute,8500,days,13752,package-events,2025-09-22T03:48:22.130Z,false,0,8500,14,false,,Mumbai,false,false,false,7,,14 days,2025-08-18T08:32:21.465Z,20,,495716
price_1SvY7SFDEp8YEMWau2LWeKPR,prod_TtKnSqKe0NRfJc,powerCycle 2 week Unlimited,,,Mumbai,2026-01-31 06:57,8925.00,inr,,,,,per_unit,,unspecified,5,true,,,,,,,,,,Kwality House & Supreme HQ,5%,days,Mumbai,14,20,0,14,8925,false,36758,Mumbai,true,20,fixed-price,0,false,false,495715,false,absolute,8500,days,13752,package-events,2025-09-22T03:48:04.862Z,false,0,8500,14,false,,Mumbai,false,false,false,7,,14 days,2025-08-18T08:31:34.661Z,20,,495715
price_1SvY7RFDEp8YEMWaJC7lEoVn,prod_TtKnAxWzqyYAGM,Barre 2 week Unlimited,,,Mumbai,2026-01-31 06:57,8925.00,inr,,,,,per_unit,,unspecified,5,true,,,,,,,,,,Kwality House & Supreme HQ,5%,days,Mumbai,14,20,0,14,8925,false,36758,Mumbai,true,20,fixed-price,0,false,false,495714,false,absolute,8500,days,13752,package-events,2025-09-22T03:47:45.510Z,false,0,8500,14,false,,Mumbai,false,false,false,7,,14 days,2025-08-18T08:29:59.543Z,20,,495714
price_1SvY7QFDEp8YEMWaJX9S5gaC,prod_TtKnwsJ8xWxIHA,Strength Lab Annual Membership,,,Mumbai,2026-01-31 06:57,173250.00,inr,,,,,per_unit,,unspecified,5,true,,,,,,0,false,false,0,Kwality House & Supreme HQ,5%,days,Mumbai,365,999,12,365,173250,false,36758,Mumbai,true,,fixed-price,0,false,false,495708,false,absolute,165000,days,13752,subscription,2025-09-21T18:37:48.301Z,false,0,165000,365,false,,Mumbai,false,false,false,7,,365 days,2025-08-18T08:07:15.453Z,,,495708
price_1SvY7QFDEp8YEMWa8qZiKip7,prod_TtKmiTL9usPTgU,powerCycle Annual Membership,,,Mumbai,2026-01-31 06:57,173250.00,inr,,,,,per_unit,,unspecified,5,true,,,,,,0,false,false,0,Kwality House & Supreme HQ,5%,days,Mumbai,365,999,12,365,173250,false,36758,Mumbai,true,,fixed-price,0,false,false,495707,false,absolute,165000,days,13752,subscription,2025-09-21T18:37:40.249Z,false,0,165000,365,false,,Mumbai,false,false,false,7,,365 days,2025-08-18T08:06:51.685Z,,,495707
price_1SvY7PFDEp8YEMWamZPXmErr,prod_TtKmUKCmYSWZel,Barre Annual Membership,,,Mumbai,2026-01-31 06:57,173250.00,inr,,,,,per_unit,,unspecified,5,true,,,,,,0,false,false,0,Kwality House & Supreme HQ,5%,days,Mumbai,365,999,12,365,173250,false,36758,Mumbai,true,,fixed-price,0,false,false,495706,false,absolute,165000,days,13752,subscription,2025-09-21T18:37:32.869Z,false,0,165000,365,false,,Mumbai,false,false,false,7,,365 days,2025-08-18T08:06:16.487Z,,,495706
price_1SvY7OFDEp8YEMWascM24pRE,prod_TtKmVOsBAV0UBf,Strength Lab 6 months Unlimited,,,Mumbai,2026-01-31 06:57,89775.00,inr,,,,,per_unit,,unspecified,5,true,,,,,,0,false,false,0,Kwality House & Supreme HQ,5%,days,Mumbai,180,999,6,180,89775,false,36758,Mumbai,true,,fixed-price,0,false,false,495705,false,absolute,85500,days,13752,subscription,2025-09-21T18:37:24.688Z,false,0,85500,180,false,,Mumbai,false,false,false,7,,180 days,2025-08-18T07:59:10.862Z,,,495705
price_1SvY7OFDEp8YEMWawQbG0nTb,prod_TtKmhkiPtdK01A,powerCycle 6 months Unlimited,,,Mumbai,2026-01-31 06:57,89775.00,inr,,,,,per_unit,,unspecified,5,true,,,,,,0,false,false,0,Kwality House & Supreme HQ,5%,days,Mumbai,180,999,6,180,89775,false,36758,Mumbai,true,,fixed-price,0,false,false,495704,false,absolute,85500,days,13752,subscription,2025-09-21T18:37:16.408Z,false,0,85500,180,false,,Mumbai,false,false,false,7,,180 days,2025-08-18T07:58:46.411Z,,,495704
